seed,orders,quality,skip_budget,human_model,served,completed,makespan_actual_s,unfinished_dish,human_stall,human_stall_count,ai_stall,ai_stall_count,progress_stall_events,progress_stall_detail
0,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,good,4,follow_plan,0,0,100.0,3品未完(Juice/Salad/Soup),,0,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,779,2,A1:chop:ChoppedLettuce を置く (完了)|A0:cook:必要な食材 (Chopped) を待機中
0,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,random,0,follow_plan,0,0,100.0,3品未完(Juice/Salad/Soup),,0,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,779,2,A1:chop:ChoppedLettuce を置く (完了)|A0:cook:必要な食材 (Chopped) を待機中
1,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,good,2,follow_plan,0,0,100.0,3品未完(Juice/Salad/Soup),,0,handover_onion_tomato :: ターゲットの完成品が入った鍋が見つかりません,699,2,A0:cook:指定テーブルにて食材をマージさせるために置く|A1:chop:FreshOnion が見つかりません
1,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,bad,4,follow_plan,3,1,62.6,,,0,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,54,2,A0:cook:食材の取得|A1:chop:FreshOnion が見つかりません
2,OnionLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,good,0,follow_plan,3,1,22.7,,,0,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,6,0,
2,OnionLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,bad,2,follow_plan,0,0,100.0,3品未完(Juice/Salad/Soup),,0,,0,1,A1:chop:ChoppedTomato を置く (完了)
2,OnionLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,random,4,follow_plan,0,0,100.0,3品未完(Juice/Salad/Soup),,0,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,779,2,A1:chop:ChoppedLettuce を置く (完了)|A0:cook:必要な食材 (Chopped) を待機中
3,OnionLettuceSalad|TomatoLettuceSoup|AppleBananaJuice,bad,0,follow_plan,3,1,23.7,,,0,cook_lettuce_tomato :: 調理完了 (Done),1,0,
3,OnionLettuceSalad|TomatoLettuceSoup|AppleBananaJuice,random,2,follow_plan,1,0,100.0,2品未完(Juice/Salad/Soup),,0,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,761,2,A0:cook:必要な食材 (Chopped) を待機中|A1:chop:ChoppedTomato を置く (完了)
4,OnionLettuceSalad|TomatoLettuceSoup|AppleOrangeJuice,good,4,follow_plan,2,0,100.0,1品未完(Juice/Salad/Soup),,0,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,762,2,A0:cook:必要な食材 (Chopped) を待機中|A1:chop:ChoppedTomato を置く (完了)
4,OnionLettuceSalad|TomatoLettuceSoup|AppleOrangeJuice,random,0,follow_plan,0,0,100.0,3品未完(Juice/Salad/Soup),,0,handover_lettuce_tomato :: ターゲットの完成品が入った鍋が見つかりません,954,2,A0:handover:ターゲットの完成品が入った鍋が見つかりません|A1:chop:FreshOrange が見つかりません
5,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,good,2,follow_plan,3,1,37.8,,,0,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,35,0,
5,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,bad,4,follow_plan,3,1,37.8,,,0,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,35,0,
6,OnionTomatoSalad|OnionLettuceSoup|AppleBananaJuice,good,0,follow_plan,0,0,100.0,3品未完(Juice/Salad/Soup),,0,handover_lettuce_onion :: ターゲットの完成品が入った鍋が見つかりません,949,2,A0:handover:ターゲットの完成品が入った鍋が見つかりません|A1:chop:FreshOnion が見つかりません
