seed,orders,quality,skip_budget,human_model,status,target,target_verb,target_obj,wait_seconds,wait_censored,tasks_before,verbs_before,durations_before,ai_idle_seconds_while_waiting,ai_idle_pct_while_waiting,exec_rank,natural_rank,rank_gain,plan_owner,wait_any_seconds,wait_any_censored,done_by_other,served,completed,makespan_actual_s,human_idle_pct,wall_seconds
13,TomatoLettuceSalad|OnionLettuceSoup|AppleOrangeJuice,random,0,follow_plan,ok,serve_juice_apple_orangejuice,serve_juice,apple-orange juice,100.0,1,12,chop|chop|chop|chop|cook|chop|handover|chop|chop|cook|chop|chop,1.5|3.3|3.4|2.5|1.9|2.2|13.4|2.5|2.8|1.7|2.4|2.8,40.4,40.4,,,,人,100.0,1,0,0,0,100.0,98.8,68.4
14,TomatoLettuceSalad|OnionLettuceSoup|BananaOrangeJuice,bad,4,follow_plan,ok,chop_orange,chop,orange,2.1,0,2,chop|chop,1.7|0.4,0.0,0.0,3,3,0,AI,5.0,0,0,3,1,32.3,52.3,23.0
15,TomatoLettuceSalad|OnionTomatoSoup|AppleBananaJuice,bad,2,follow_plan,ok,chop_apple,chop,apple,1.7,0,1,chop,1.7,0.0,0.0,2,2,0,AI,4.5,0,0,3,1,25.7,13.2,18.2
16,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,bad,0,follow_plan,ok,chop_apple,chop,apple,0.0,0,0,,,0.0,0.0,1,2,1,AI,2.1,0,0,3,1,25.9,10.8,17.7
17,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,good,4,follow_plan,ok,chop_tomato,chop,tomato,25.9,1,6,chop|chop|chop|chop|cook|chop,1.7|3.0|2.5|1.0|1.2|2.8,0.0,0.0,,,,人,5.1,0,1,3,1,25.9,13.9,13.3
0,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,bad,2,follow_plan,ok,chop_apple,chop,apple,4.1,0,2,chop|chop,1.7|2.4,0.0,0.0,3,3,0,AI,3.1,0,0,3,1,28.3,24.7,22.4
1,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,bad,0,follow_plan,ok,chop_orange,chop,orange,0.0,0,0,,,0.0,0.0,1,4,3,AI,2.4,0,0,1,0,100.0,6.8,72.1
2,OnionLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,good,4,follow_plan,ok,chop_tomato,chop,tomato,21.9,1,8,chop|chop|chop|cook|chop|chop|chop|chop,1.7|2.4|0.8|0.4|2.9|3.4|2.3|0.8,0.0,0.0,,,,人,2.1,0,1,3,1,21.9,44.3,19.2
3,OnionLettuceSalad|TomatoLettuceSoup|AppleBananaJuice,good,2,follow_plan,ok,chop_lettuce,chop,lettuce,2.1,0,1,chop,2.1,0.0,0.0,2,4,2,AI,6.5,0,0,3,1,23.3,21.5,20.0
4,OnionLettuceSalad|TomatoLettuceSoup|AppleOrangeJuice,good,0,follow_plan,ok,chop_tomato,chop,tomato,26.7,1,7,chop|chop|chop|cook|chop|chop|handover,2.1|3.6|3.2|1.2|2.6|2.4|2.9,0.0,0.0,,,,人,2.1,0,1,3,1,26.7,33.7,21.4
4,OnionLettuceSalad|TomatoLettuceSoup|AppleOrangeJuice,random,4,follow_plan,ok,mix_apple_orangejuice,mix,apple-orange juice,26.7,1,7,chop|chop|chop|cook|chop|chop|handover,2.1|3.6|3.2|1.2|2.6|2.4|2.9,0.0,0.0,,,,人,8.3,0,1,3,1,26.7,33.7,21.1
5,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,random,2,follow_plan,ok,chop_lettuce,chop,lettuce,2.4,0,1,chop,2.4,0.0,0.0,2,4,2,AI,6.7,0,0,3,1,23.5,22.1,20.4
6,OnionTomatoSalad|OnionLettuceSoup|AppleBananaJuice,random,0,follow_plan,ok,chop_apple,chop,apple,0.0,0,0,,,0.0,0.0,1,3,2,AI,2.1,0,0,3,1,31.3,27.2,23.2
7,OnionTomatoSalad|OnionLettuceSoup|AppleOrangeJuice,bad,4,follow_plan,ok,chop_apple,chop,apple,4.4,0,2,chop|chop,1.9|2.5,0.0,0.0,3,3,0,AI,7.4,0,0,3,1,28.3,26.1,20.5
8,OnionTomatoSalad|OnionLettuceSoup|BananaOrangeJuice,bad,2,follow_plan,ok,chop_banana,chop,banana,4.4,0,2,chop|chop,1.9|2.5,0.0,0.0,3,4,1,AI,0.4,0,0,3,1,28.7,27.2,20.5
9,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,bad,0,follow_plan,ok,chop_banana,chop,banana,0.0,0,0,,,0.0,0.0,1,2,1,AI,2.5,0,0,3,1,27.1,27.3,18.9
10,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,good,4,follow_plan,ok,chop_tomato,chop,tomato,26.7,1,6,chop|chop|chop|cook|chop|handover,2.1|3.4|3.4|1.9|1.9|3.1,0.0,0.0,,,,人,5.1,0,1,3,1,26.7,27.7,18.8
11,OnionTomatoSalad|TomatoLettuceSoup|BananaOrangeJuice,good,2,follow_plan,ok,chop_lettuce,chop,lettuce,5.7,0,2,chop|chop,2.4|3.3,0.0,0.0,3,4,1,AI,2.8,0,0,3,1,26.9,27.5,20.1
12,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,good,0,follow_plan,ok,chop_onion,chop,onion,0.0,0,0,,,0.0,0.0,1,5,4,AI,1.9,0,0,3,1,22.3,33.2,18.5
12,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,random,4,follow_plan,ok,handover_lettuce_onionsoup,handover,lettuce-onion soup,12.0,0,6,chop|chop|chop|chop|cook|chop,1.7|0.4|2.7|3.2|1.2|2.8,0.0,0.0,7,6,-1,AI,25.4,0,0,3,1,32.1,52.0,25.1
