map,preset,seed,human_model,quality,skip_budget,status,orders,target,target_verb,target_obj,served,reward,orders_left,completed,timed_out,makespan_actual_s,makespan_plan_baseline_s,makespan_plan_constrained_s,loss_s,loss_status,prediction_match,prediction_samples,replans,preempted_by_human,rework,human_frames,human_idle_pct,human_move_pct,human_interact_pct,human_task_switches,human_stuck_switches,human_useful_events,human_event_kinds,wall_seconds
experiment,experiment2,0,greedy,good,0,ok,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,chop_tomato,chop,tomato,3,45,0,1,0,29.9,16.2,16.2,0.0,ok,0.1806,299,38,0,11,299,0.7,24.1,74.9,12,0,24,Assemble:2|Chop:1|Deliver:3|Mix:1|Pickup:12|Put:5,18.6
experiment,experiment2,0,greedy,random,4,ok,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,chop_lettuce,chop,lettuce,3,45,0,1,0,29.9,16.2,16.2,0.0,ok,0.1806,299,38,0,11,299,0.7,24.1,74.9,12,0,24,Assemble:2|Chop:1|Deliver:3|Mix:1|Pickup:12|Put:5,19.2
experiment,experiment2,0,random,random,2,ok,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,chop_lettuce,chop,lettuce,3,45,0,1,0,48.0,16.2,16.2,0.0,ok,0.1313,480,67,5,8,480,73.8,15.0,11.0,19,2,30,Assemble:2|Chop:2|Deliver:3|Mix:1|Pickup:15|Put:7,31.5
experiment,experiment2,1,follow_plan,random,0,ok,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,chop_tomato,chop,tomato,3,45,0,1,0,21.9,16.2,16.2,0.0,ok,1.0,219,38,0,8,219,11.9,25.6,62.1,0,0,100,Assemble:2|Chop:1|Deliver:3|Mix:1|Pickup:50|Put:43,12.8
experiment,experiment2,1,greedy,bad,4,ok,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,chop_orange,chop,orange,3,45,0,1,0,29.9,16.2,16.2,0.0,ok,0.1739,299,38,0,11,299,0.7,24.1,74.9,12,0,22,Assemble:2|Chop:1|Deliver:3|Mix:1|Pickup:11|Put:4,18.7
experiment,experiment2,1,random,bad,2,ok,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,chop_orange,chop,orange,3,45,0,1,0,26.7,16.2,16.2,0.0,ok,0.3596,267,37,3,9,267,29.6,30.7,39.3,14,0,40,Assemble:2|Chop:2|Deliver:3|Mix:1|Pickup:20|Put:12,19.9
experiment,experiment2,2,follow_plan,bad,0,ok,OnionLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,chop_banana,chop,banana,3,45,0,1,0,27.1,16.4,16.6,0.2,ok,1.0,271,36,0,7,271,28.0,22.9,48.7,0,0,58,Assemble:3|Chop:1|Deliver:3|Mix:1|Pickup:29|Put:21,14.6
experiment,experiment2,2,greedy,good,4,ok,OnionLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,chop_tomato,chop,tomato,3,45,0,1,0,29.9,16.4,16.4,0.0,ok,0.1806,299,38,0,11,299,0.7,24.1,74.9,12,0,24,Assemble:2|Chop:1|Deliver:3|Mix:1|Pickup:12|Put:5,18.5
experiment,experiment2,2,random,good,2,ok,OnionLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,chop_tomato,chop,tomato,3,45,0,1,0,21.9,16.4,16.4,0.0,ok,0.726,219,39,0,8,219,1.4,25.6,72.6,10,0,102,Assemble:2|Chop:1|Deliver:3|Mix:1|Pickup:51|Put:44,18.3
experiment,experiment2,3,follow_plan,good,0,ok,OnionLettuceSalad|TomatoLettuceSoup|AppleBananaJuice,chop_lettuce,chop,lettuce,3,45,0,1,0,25.9,16.0,16.0,0.0,ok,1.0,259,44,0,8,259,40.9,20.1,38.6,0,0,41,Assemble:2|Chop:1|Deliver:3|Mix:1|Pickup:21|Put:13,15.8
experiment,experiment2,3,follow_plan,random,4,ok,OnionLettuceSalad|TomatoLettuceSoup|AppleBananaJuice,serve_juice_apple_bananajuice,serve_juice,apple-banana juice,3,45,0,1,0,26.7,16.0,16.0,0.0,ok,1.0,267,37,0,7,267,27.0,23.2,49.4,0,0,56,Assemble:3|Chop:1|Deliver:3|Mix:1|Pickup:28|Put:20,14.3
experiment,experiment2,3,greedy,random,2,ok,OnionLettuceSalad|TomatoLettuceSoup|AppleBananaJuice,serve_juice_apple_bananajuice,serve_juice,apple-banana juice,3,45,0,1,0,26.7,16.0,16.0,0.0,ok,0.2622,267,41,0,9,267,2.6,29.2,67.8,12,0,16,Assemble:1|Chop:1|Deliver:3|Mix:1|Pickup:8|Put:2,19.5
experiment,experiment2,3,random,random,0,ok,OnionLettuceSalad|TomatoLettuceSoup|AppleBananaJuice,serve_juice_apple_bananajuice,serve_juice,apple-banana juice,2,30,1,0,1,100.0,16.0,16.0,0.0,ok,0.254,1000,143,3,7,1000,43.8,11.8,44.3,21,7,96,Assemble:2|Chop:2|Deliver:2|Mix:1|Pickup:48|Put:41,60.5
experiment,experiment2,4,follow_plan,bad,4,ok,OnionLettuceSalad|TomatoLettuceSoup|AppleOrangeJuice,chop_apple,chop,apple,3,45,0,1,0,26.7,16.0,16.0,0.0,ok,1.0,267,37,0,7,267,27.0,23.2,49.4,0,0,56,Assemble:3|Chop:1|Deliver:3|Mix:1|Pickup:28|Put:20,14.2
experiment,experiment2,4,greedy,bad,2,ok,OnionLettuceSalad|TomatoLettuceSoup|AppleOrangeJuice,chop_apple,chop,apple,3,45,0,1,0,26.7,16.0,16.0,0.0,ok,0.2622,267,41,0,9,267,2.6,29.2,67.8,12,0,16,Assemble:1|Chop:1|Deliver:3|Mix:1|Pickup:8|Put:2,19.2
experiment,experiment2,4,random,bad,0,ok,OnionLettuceSalad|TomatoLettuceSoup|AppleOrangeJuice,chop_apple,chop,apple,3,45,0,1,0,26.7,16.0,16.0,0.0,ok,0.2697,267,39,1,9,267,10.9,32.2,56.6,12,0,16,Assemble:1|Chop:1|Deliver:3|Mix:1|Pickup:8|Put:2,19.4
experiment,experiment2,5,follow_plan,good,4,ok,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,chop_tomato,chop,tomato,3,45,0,1,0,26.9,16.2,16.2,0.0,ok,1.0,269,37,0,7,269,27.5,23.0,49.1,0,0,56,Assemble:3|Chop:1|Deliver:3|Mix:1|Pickup:28|Put:20,14.1
experiment,experiment2,5,greedy,good,2,ok,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,chop_tomato,chop,tomato,3,45,0,1,0,26.9,16.2,16.2,0.0,ok,0.2677,269,40,0,9,269,2.6,29.0,68.0,12,0,18,Assemble:1|Chop:1|Deliver:3|Mix:1|Pickup:9|Put:3,19.9
experiment,experiment2,5,random,good,0,ok,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,chop_tomato,chop,tomato,0,0,3,0,1,100.0,16.2,16.2,0.0,ok,0.051,1000,122,2,6,1000,0.0,4.8,95.1,7,0,936,Assemble:1|Chop:2|Mix:1|Pickup:468|Put:464,109.2
experiment,experiment2,5,random,random,4,ok,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,chop_lettuce,chop,lettuce,0,0,3,0,1,100.0,16.2,16.2,0.0,ok,0.051,1000,122,2,6,1000,0.0,4.8,95.1,7,0,936,Assemble:1|Chop:2|Mix:1|Pickup:468|Put:464,106.3
experiment,experiment2,6,follow_plan,random,2,ok,OnionTomatoSalad|OnionLettuceSoup|AppleBananaJuice,chop_apple,chop,apple,3,45,0,1,0,28.3,16.2,16.2,0.0,ok,1.0,283,43,0,6,283,26.1,17.3,56.2,0,0,78,Assemble:3|Chop:1|Deliver:3|Mix:1|Pickup:39|Put:31,13.6
