seed,orders,quality,skip_budget,human_model,served,completed,makespan_actual_s,unfinished_dish,human_stall,human_stall_count,ai_stall,ai_stall_count,progress_stall_events,progress_stall_detail
14,TomatoLettuceSalad|OnionLettuceSoup|BananaOrangeJuice,bad,0,follow_plan,3,1,28.6,,,0,cook_lettuce_onion :: 必要な食材 (Chopped) を待機中,3,0,
14,TomatoLettuceSalad|OnionLettuceSoup|BananaOrangeJuice,random,2,follow_plan,3,1,26.1,,,0,carry_orange :: orange を運び終えた (完了),1,0,
15,TomatoLettuceSalad|OnionTomatoSoup|AppleBananaJuice,good,4,follow_plan,3,1,22.4,,,0,,0,0,
15,TomatoLettuceSalad|OnionTomatoSoup|AppleBananaJuice,random,0,follow_plan,3,1,22.4,,,0,,0,0,
16,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,good,2,follow_plan,3,1,25.5,,,0,,0,0,
16,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,bad,4,follow_plan,3,1,25.5,,,0,,0,0,
17,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,good,0,follow_plan,3,1,22.7,,,0,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,3,0,
17,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,bad,2,follow_plan,3,1,22.7,,,0,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,3,0,
17,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,random,4,follow_plan,3,1,22.7,,,0,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,3,0,
0,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,good,4,follow_plan,3,1,32.9,,,0,handover_onion_tomato :: ターゲットの完成品が入った鍋が見つかりません,99,0,
0,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,random,0,follow_plan,3,1,32.9,,,0,handover_onion_tomato :: ターゲットの完成品が入った鍋が見つかりません,99,0,
1,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,good,2,follow_plan,3,1,47.4,,,0,handover_onion_tomato :: ターゲットの完成品が入った鍋が見つかりません,244,1,A0:handover:ターゲットの完成品が入った鍋が見つかりません
1,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,bad,4,follow_plan,3,1,23.4,,,0,carry_apple :: apple を運び終えた (完了),1,0,
2,OnionLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,good,0,follow_plan,3,1,32.9,,,0,handover_onion_tomato :: ターゲットの完成品が入った鍋が見つかりません,98,0,
2,OnionLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,bad,2,follow_plan,3,1,22.3,,,0,cook_onion_tomato :: 調理完了 (Done),1,0,
2,OnionLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,random,4,follow_plan,3,1,32.9,,,0,handover_onion_tomato :: ターゲットの完成品が入った鍋が見つかりません,99,0,
3,OnionLettuceSalad|TomatoLettuceSoup|AppleBananaJuice,bad,0,follow_plan,3,1,23.8,,,0,,0,0,
3,OnionLettuceSalad|TomatoLettuceSoup|AppleBananaJuice,random,2,follow_plan,3,1,31.6,,,0,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,3,0,
4,OnionLettuceSalad|TomatoLettuceSoup|AppleOrangeJuice,good,4,follow_plan,3,1,61.1,,,0,handover_lettuce_tomato :: ターゲットの完成品が入った鍋が見つかりません,244,2,A0:handover:ターゲットの完成品が入った鍋が見つかりません|A1:chop:FreshOrange が見つかりません
4,OnionLettuceSalad|TomatoLettuceSoup|AppleOrangeJuice,random,0,follow_plan,3,1,47.5,,,0,handover_lettuce_tomato :: ターゲットの完成品が入った鍋が見つかりません,244,1,A0:handover:ターゲットの完成品が入った鍋が見つかりません
5,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,good,2,follow_plan,3,1,32.2,,,0,handover_lettuce_tomato :: ターゲットの完成品が入った鍋が見つかりません,92,0,
5,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,bad,4,follow_plan,3,1,32.2,,,0,handover_lettuce_tomato :: ターゲットの完成品が入った鍋が見つかりません,92,0,
6,OnionTomatoSalad|OnionLettuceSoup|AppleBananaJuice,good,0,follow_plan,3,1,26.9,,,0,carry_apple :: apple を運び終えた (完了),1,0,
6,OnionTomatoSalad|OnionLettuceSoup|AppleBananaJuice,bad,2,follow_plan,3,1,23.9,,,0,cook_lettuce_onion :: 調理完了 (Done),1,0,
6,OnionTomatoSalad|OnionLettuceSoup|AppleBananaJuice,random,4,follow_plan,3,1,23.9,,,0,cook_lettuce_onion :: 調理完了 (Done),1,0,
7,OnionTomatoSalad|OnionLettuceSoup|AppleOrangeJuice,bad,0,follow_plan,3,1,26.3,,,0,cook_lettuce_onion :: 必要な食材 (Chopped) を待機中,2,0,
7,OnionTomatoSalad|OnionLettuceSoup|AppleOrangeJuice,random,2,follow_plan,3,1,26.5,,,0,carry_orange :: orange を運び終えた (完了),1,0,
8,OnionTomatoSalad|OnionLettuceSoup|BananaOrangeJuice,good,4,follow_plan,3,1,23.6,,,0,cook_lettuce_onion :: 必要な食材 (Chopped) を待機中,3,0,
8,OnionTomatoSalad|OnionLettuceSoup|BananaOrangeJuice,random,0,follow_plan,3,1,26.9,,,0,carry_orange :: orange を運び終えた (完了),1,0,
9,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,good,2,follow_plan,3,1,22.7,,,0,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,3,0,
9,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,bad,4,follow_plan,3,1,22.7,,,0,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,3,0,
10,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,good,0,follow_plan,3,1,23.2,,,0,carry_lettuce :: lettuce を運び終えた (完了),1,0,
10,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,bad,2,follow_plan,3,1,37.9,,,0,carry_onion :: onion を運び終えた (完了),1,0,
10,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,random,4,follow_plan,3,1,23.8,,,0,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,3,0,
11,OnionTomatoSalad|TomatoLettuceSoup|BananaOrangeJuice,bad,0,follow_plan,3,1,24.2,,,0,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,3,0,
11,OnionTomatoSalad|TomatoLettuceSoup|BananaOrangeJuice,random,2,follow_plan,3,1,22.7,,,0,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,3,0,
12,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,good,4,follow_plan,3,1,26.1,,,0,carry_apple :: apple を運び終えた (完了),1,0,
12,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,random,0,follow_plan,3,1,33.4,,,0,cook_lettuce_onion :: 必要な食材 (Chopped) を待機中,3,0,
13,TomatoLettuceSalad|OnionLettuceSoup|AppleOrangeJuice,good,2,follow_plan,3,1,26.5,,,0,carry_apple :: apple を運び終えた (完了),1,0,
13,TomatoLettuceSalad|OnionLettuceSoup|AppleOrangeJuice,bad,4,follow_plan,3,1,26.5,,,0,carry_apple :: apple を運び終えた (完了),1,0,
14,TomatoLettuceSalad|OnionLettuceSoup|BananaOrangeJuice,good,0,follow_plan,3,1,24.9,,,0,cook_lettuce_onion :: 必要な食材 (Chopped) を待機中,3,0,
14,TomatoLettuceSalad|OnionLettuceSoup|BananaOrangeJuice,bad,2,follow_plan,3,1,27.7,,,0,,0,0,
14,TomatoLettuceSalad|OnionLettuceSoup|BananaOrangeJuice,random,4,follow_plan,3,1,26.1,,,0,carry_orange :: orange を運び終えた (完了),1,0,
15,TomatoLettuceSalad|OnionTomatoSoup|AppleBananaJuice,bad,0,follow_plan,3,1,24.3,,,0,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,3,0,
15,TomatoLettuceSalad|OnionTomatoSoup|AppleBananaJuice,random,2,follow_plan,3,1,22.4,,,0,,0,0,
16,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,good,4,follow_plan,3,1,25.5,,,0,,0,0,
16,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,random,0,follow_plan,3,1,24.2,,,0,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,3,0,
17,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,good,2,follow_plan,3,1,22.7,,,0,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,3,0,
17,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,bad,4,follow_plan,3,1,22.7,,,0,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,3,0,
