map,preset,seed,quality,skip_budget,status,orders,num_tasks,num_candidates,target,target_verb,target_obj,target_serves_soup,natural_rank,natural_rank_agent,excess,makespan_baseline_s,makespan_constrained_s,loss_s,constrained_rank,inserted_count,inserted_total_s,inserted_durations_s,baseline_status,constrained_status,baseline_solve_s,constrained_solve_s
experiment,experiment2,9,good,0,ok,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,20.3,20.3,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0066,0.011
experiment,experiment2,9,good,2,ok,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,20.3,20.3,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0061,0.0128
experiment,experiment2,9,good,4,ok,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,20.3,20.3,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0059,0.0119
experiment,experiment2,9,bad,0,ok,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,12,11,chop_orange,chop,orange,0,5,0,5,20.3,24.5,4.2,0,0,0,,OPTIMAL,OPTIMAL,0.0059,0.0056
experiment,experiment2,9,bad,2,ok,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,12,11,chop_orange,chop,orange,0,5,0,3,20.3,20.3,0.0,2,2,2.4,2.0|0.4,OPTIMAL,OPTIMAL,0.0062,0.0089
experiment,experiment2,9,bad,4,ok,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,12,11,chop_orange,chop,orange,0,5,0,1,20.3,20.3,0.0,3,3,5.0,2.0|0.4|2.6,OPTIMAL,OPTIMAL,0.006,0.0081
experiment,experiment2,9,random,0,ok,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,12,11,cook_onion_tomatosoup,cook,onion-tomato soup,1,1,0,1,20.3,20.3,0.0,1,1,2.0,2.0,OPTIMAL,OPTIMAL,0.0062,0.0053
experiment,experiment2,9,random,2,ok,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,12,11,cook_onion_tomatosoup,cook,onion-tomato soup,1,1,0,0,20.3,20.3,0.0,1,1,2.0,2.0,OPTIMAL,OPTIMAL,0.0058,0.0083
experiment,experiment2,9,random,4,ok,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,12,11,cook_onion_tomatosoup,cook,onion-tomato soup,1,1,0,0,20.3,20.3,0.0,1,1,2.0,2.0,OPTIMAL,OPTIMAL,0.0058,0.0092
experiment,experiment2,10,good,0,ok,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,20.3,20.3,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.006,0.009
